P3,P6p4,P11p3,P16p2,P19p2,H5p2,H15p1,H40p4,target
0.16585788119643677,-0.12744155565239224,0.3887849678325072,-1.5630887171639927,-0.1489432467727894,-1.0884043519700421,0.8446388414843675,0.8515863222482833,130600.0
-0.09374256402440494,-0.15339797283012152,-0.06664638770855076,-0.24051388995101552,-0.38685523321432186,-0.00565758169448961,1.5632190459332418,-1.0516001068104066,40500.0
-0.04027537336135062,-0.1902295326793507,-0.10398340208099054,-0.3729709957112407,-0.4108168042720133,-0.38759671032398374,0.2739703223936319,0.5905965228921038,28700.0
-0.1110973567958461,-0.24533437222163954,0.14062235625784916,0.7374946121381825,-0.4108168042720133,-0.5145660761445334,0.8460231450139327,1.5328404166104181,28500.0
-0.11290097267278572,-0.24533437222163954,-0.05595262392593495,0.46034518140638114,4.397582651632599,-1.234057470314395,0.2420301085807297,-1.4823400432881875,24100.0
-0.1110973567958461,-0.24533437222163954,-0.8676792387387388,0.8772433447450717,-0.01830222366128834,0.5646710151102587,-1.2191455016458193,0.02525018666111528,14999.0
-0.10720956257222071,-0.24533437222163954,-0.0446389798496591,0.0917576269945647,-0.4108168042720133,-1.234057470314395,0.8095689839176586,-1.4823400432881875,33200.0
1.1693897551256376,0.31950092060418783,0.9023988844127668,-1.1606408782849045,1.4773150841560374,-0.7327122693998646,0.9667487277190285,-0.7322219408843825,66300.0
-0.0692133880980262,-0.11647616283424088,0.6610731878417191,-0.4720445287389411,-0.38123694896435417,-0.8949036169306056,0.9929563800673725,0.24062030565902867,138000.0
-0.06704904904569865,0.2624604529166112,0.5010893767572543,1.9464390092885402,-0.34285952570321304,-0.4117816940476095,0.7554195431292778,-1.4823400432881875,140600.0
-0.07827154783554514,2.6613022259006125,1.125292258134082,-0.5124275131922617,-0.17797879726641588,-0.41645335166995445,2.4579180644016825,-0.2762678593287452,127000.0
0.04846252778407836,-0.10151601352483318,-0.17296580267498643,-0.9243889598162833,-0.20202262200822524,-0.23571999142006198,0.7740566290219887,-0.8585094577487297,46900.0
-0.11498515101947149,-0.11832866584445488,-0.5771708474241494,-0.16774544795980642,-0.4108168042720133,-0.12714730105704156,-1.185751782308205,-1.4823400432881875,14999.0
-0.08075652971043971,-0.15601047707529508,0.06051857392464863,0.08017330265181152,2.082072064518659,0.299285175387917,-0.04254497212455639,-0.3226552046321014,35300.0
-0.10396305399372942,-0.1159061619080212,0.9648460229802809,-0.3992944218144524,-0.36898901777448206,-0.6296846992117112,-0.1568921080770658,-0.6208598688145794,65800.0
-0.11506531172511325,-0.24533437222163954,-1.287174111586883,2.19518398384428,-0.4108168042720133,-1.234057470314395,-1.289134817776453,-1.4823400432881875,14999.0
-0.10753020539478776,-0.22405196263891172,-1.9480410891564024,1.7129751669032038,-0.38254585541596986,-1.234057470314395,-2.5444998718528167,-1.4823400432881875,14999.0
